City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
472,Balykshi,KZ,47.0667,51.8667,8.6,72,0,6.71,clear sky
473,Beatrice,US,40.2681,-96.747,23.09,54,0,3.44,clear sky
474,Chachapoyas,PE,-6.2317,-77.869,53.37,80,93,2.55,overcast clouds
475,Tingi,TZ,-11.3,35.0333,62.85,93,100,4.47,light rain
476,Tukrah,LY,32.5341,20.5791,62.13,67,21,14.65,light rain
477,Karimganj,IN,24.8667,92.35,76.5,78,19,1.52,few clouds
478,Port Shepstone,ZA,-30.7414,30.455,67.26,84,100,16.53,overcast clouds
479,Tombouctou,ML,20.0,-3.0,65.08,23,85,10.16,overcast clouds
480,Ginir,ET,7.1333,40.7,53.26,42,12,5.39,few clouds
481,Taoudenni,ML,22.6783,-3.9836,61.57,22,16,9.69,few clouds
482,Masvingo,ZW,-20.0637,30.8277,55.89,73,0,3.11,clear sky
483,Teruel,ES,40.6667,-0.6667,36.14,80,100,2.98,overcast clouds
484,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,13.8,light rain
485,Kalat,PK,29.0225,66.5916,46.76,27,91,2.89,overcast clouds
486,Rawah,IQ,34.4816,41.9093,57.27,70,23,3.27,few clouds
487,Taltal,CL,-25.4,-70.4833,64.45,81,0,5.75,clear sky
488,Muros,ES,42.7762,-9.0603,46.83,94,3,8.61,clear sky
489,Ust-Kulom,RU,61.6864,53.6902,2.25,100,86,2.42,overcast clouds
490,Hay River,CA,60.8156,-115.7999,-16.62,76,20,9.22,few clouds
491,Mollendo,PE,-17.0231,-72.0147,66.9,79,55,5.79,broken clouds
492,Pemangkat,ID,1.1667,108.9667,81.23,75,100,2.3,overcast clouds
493,Issenye,TZ,-2.0,34.3333,61.83,83,100,3.87,overcast clouds
494,Inhambane,MZ,-23.865,35.3833,72.63,80,58,11.03,broken clouds
495,Najran,SA,17.4924,44.1277,54.25,46,0,0.47,clear sky
496,Beidao,CN,34.5686,105.8933,29.25,28,98,1.21,overcast clouds
497,Yumen,CN,40.2833,97.2,13.77,63,100,6.13,overcast clouds
498,Osoyoos,CA,49.0331,-119.4524,32.76,86,100,1.14,overcast clouds
499,Peniche,PT,39.3558,-9.3811,51.12,96,99,14.99,overcast clouds
500,Bose,IT,45.4612,8.0137,43.29,79,90,0.94,overcast clouds
501,Barcelos,PT,41.5388,-8.6151,50.85,88,69,5.3,broken clouds
502,Ulaanbaatar,MN,47.9077,106.8832,-21.87,69,5,0.0,clear sky
503,Ayagoz,KZ,47.9714,80.4392,8.82,88,98,6.35,overcast clouds
504,Maloy,NO,61.9353,5.1136,42.73,71,10,9.66,clear sky
505,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,55,100,11.5,overcast clouds
506,Zhaodong,CN,46.0833,125.9833,1.56,59,16,11.92,few clouds
507,Fort Collins,US,40.5853,-105.0844,29.82,81,0,3.0,clear sky
508,Imbituba,BR,-28.24,-48.6703,73.85,95,99,19.35,moderate rain
509,Villamontes,BO,-21.25,-63.5,66.6,97,100,4.16,overcast clouds
510,Uchaly,RU,54.2996,59.4521,-1.79,99,93,3.2,overcast clouds
511,Sandane,NO,61.7728,6.215,37.44,87,100,5.75,overcast clouds
512,Mountain Home,US,43.133,-115.6912,35.08,64,100,23.02,overcast clouds
513,Esperance,AU,-33.8667,121.9,85.06,34,0,11.86,clear sky
514,Kresttsy,RU,58.2452,32.5165,11.23,93,26,3.85,scattered clouds
515,Lamar,US,33.6668,-95.5836,37.31,70,0,4.61,clear sky
516,Arcoverde,BR,-8.4189,-37.0539,68.63,87,96,4.59,light rain
517,Algiers,DZ,36.7525,3.042,55.76,62,100,5.06,overcast clouds
518,Milkovo,RU,54.7167,158.6167,22.95,81,6,4.76,clear sky
519,Hervey Bay,AU,-25.2986,152.8535,66.29,89,100,29.57,overcast clouds
520,Los Aquijes,PE,-14.0967,-75.6908,68.5,70,0,2.35,clear sky
521,Nea Fokaia,GR,40.1333,23.4,55.45,88,100,29.1,overcast clouds
522,Mufumbwe,ZM,-13.6833,24.8,60.69,97,3,4.54,clear sky
523,Abu Kamal,SY,34.4506,40.9171,56.66,81,7,6.4,clear sky
524,Pasighat,IN,28.0667,95.3333,74.86,38,5,0.78,clear sky
525,Kahului,US,20.8947,-156.47,78.96,81,40,10.36,scattered clouds
526,Saint-Georges,GD,12.0564,-61.7485,78.48,78,75,4.61,broken clouds
527,Marzuq,YE,14.4,46.4667,58.44,61,0,1.74,clear sky
528,Loubomo,CG,-4.1997,12.6739,70.92,94,100,2.48,overcast clouds
529,Gao,ML,16.6362,1.637,71.2,21,68,9.17,broken clouds
530,Tuatapere,NZ,-46.1333,167.6833,57.76,57,72,15.39,broken clouds
531,Cap-Aux-Meules,CA,47.3821,-61.8597,39.25,81,100,23.02,overcast clouds
532,Grand-Santi,GF,4.25,-54.3833,70.81,99,35,2.3,scattered clouds
533,Shahganj,IN,26.05,82.6833,66.04,51,0,4.76,clear sky
534,Maningrida,AU,-12.0667,134.2667,93.43,29,91,2.93,overcast clouds
535,Lamu,KE,-2.2717,40.902,77.72,84,96,8.52,overcast clouds
536,Marsa Matruh,EG,31.3525,27.2453,53.8,62,0,0.0,clear sky
537,Meylan,FR,45.2199,5.7901,44.08,95,96,2.64,overcast clouds
538,Shaowu,CN,27.3409,117.4831,40.26,93,100,3.42,overcast clouds
539,Kichera,RU,55.9375,110.0997,-2.7,92,100,2.19,overcast clouds
540,Lebork,PL,54.5392,17.7501,36.48,91,100,4.76,overcast clouds
541,Slavyanka,RU,42.8633,131.3847,14.59,51,35,19.71,scattered clouds
542,Gravdal,NO,68.1214,13.5031,40.93,74,99,6.89,overcast clouds
543,Challans,FR,46.8436,-1.8749,43.0,94,7,10.85,clear sky
544,Elliot Lake,CA,46.3834,-82.6331,25.47,87,100,16.51,light snow
545,Opuwo,NA,-18.0607,13.84,70.34,49,61,1.63,broken clouds
546,Wadena,US,46.4425,-95.1361,8.35,85,0,3.44,clear sky
547,Egvekinot,RU,66.3167,-179.1667,10.47,97,100,2.33,overcast clouds
548,Aksu,CN,41.1231,80.2644,18.25,18,21,2.82,few clouds
549,Chabahar,IR,25.2919,60.643,75.33,38,59,1.74,broken clouds
550,Cherepovets,RU,59.1333,37.9,1.22,78,40,0.0,scattered clouds
551,Macas,EC,-2.3167,-78.1167,68.16,97,100,3.62,moderate rain
552,Touros,BR,-5.1989,-35.4608,77.61,74,84,9.13,broken clouds
553,Orange,US,33.7,-117.7675,58.55,69,4,1.99,clear sky
554,Shanhetun,CN,44.7,127.2,6.75,56,97,15.95,overcast clouds
555,Green River,US,41.5286,-109.4662,21.6,63,13,3.51,few clouds
556,Taboga,IT,46.2663,13.1092,44.74,83,94,6.38,overcast clouds
557,Pointe Michel,DM,15.25,-61.3833,77.29,76,5,13.6,clear sky
